"difficulty_average","favorites_count","free","name","rating_average","yarn_weight_description","knit_needle_size","crochet_hook","knit_needles","crochet_hook_size","craft","pattern_cat","pattern_parent_cat","pattern_parent_parent_cat","pull_date","n_langs","pull_day"
0,987,FALSE,"Oribus Fingerless Mitts",0,"Fingering (14 wpi)","1½",FALSE,TRUE,"","Knitting","Fingerless Gloves/Mitts","Hands","Accessories","2025-11-17",1,17
2.44927536231884,22818,FALSE,"Sailor Slippers",4.87162162162162,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-17",1,17
2.52348420153715,42570,FALSE,"Sophie Hood",4.74068071312804,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-17",13,17
5.09433962264151,32024,FALSE,"Rosie Sweater",4.67796610169492,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-17",10,17
2.08461538461538,4000,FALSE,"One Love Mystery Shawl",4.52307692307692,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-17",1,17
2.25408980160111,67477,TRUE,"Step by Step Sweater",4.86982444518052,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-17",2,17
2.40979147778785,63017,FALSE,"Oslo Hat",4.72184684684685,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-17",10,17
1.92087835482747,70589,FALSE,"Sophie Scarf",4.84287836276613,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-17",17,17
3.48229861467419,116783,FALSE,"Ranunculus",4.81362346263009,"","10 ",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-17",4,17
0,1162,FALSE,"Shorty Sock Set Vol. III",0,"Light Fingering","1 ",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-18",2,18
0,179,FALSE,"Maroon Socks",0,"Fingering (14 wpi)","1 ",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-18",1,18
0,374,FALSE,"Manly Beanie",0,"Sport (12 wpi)","3 ",FALSE,TRUE,"D","Knitting","Beanie, Toque","Hat","Accessories","2025-11-18",1,18
0,323,FALSE,"Hyde Park Socks",0,"Fingering (14 wpi)","1 ",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-18",1,18
0,198,TRUE,"Kõuvõ",0,"Fingering (14 wpi)","4 ",FALSE,TRUE,"E","Knitting","Cowl","Neck / Torso","Accessories","2025-11-18",2,18
0,164,TRUE,"Broken Rib Cowl",0,"Bulky (7 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",4,18
0,283,FALSE,"Intangential (Advent Mystery Shawl KAL 2025)",0,"Fingering (14 wpi)","4 ",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-18",1,18
0,249,FALSE,"A Place Between",0,"Sport (12 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",1,18
2.97055214723926,51545,FALSE,"Cloud Sweater",4.74558303886926,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-18",14,18
3.26666666666667,740,FALSE,"Logamancy (Advent Mystery Shawl KAL 2024)",4.77777777777778,"Fingering (14 wpi)","4 ",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-18",2,18
0,1135,FALSE,"Oribus Fingerless Mitts",0,"Fingering (14 wpi)","1½",FALSE,TRUE,"","Knitting","Fingerless Gloves/Mitts","Hands","Accessories","2025-11-18",1,18
2.46478873239437,23735,FALSE,"Sailor Slippers",4.87581699346405,"Super Bulky (5-6 wpi)","11 ",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-18",1,18
5,1444,FALSE,"Flowing River Cowl",4.9,"Sport (12 wpi)","7 ",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-18",1,18
2.52078032230704,42865,FALSE,"Sophie Hood",4.74014481094127,"Worsted (9 wpi)","8 ",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",13,18
5.07407407407407,32281,FALSE,"Rosie Sweater",4.68852459016393,"DK (11 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-18",10,18
2.06617647058824,4018,FALSE,"One Love Mystery Shawl",4.50735294117647,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-18",1,18
2.25259875259875,67666,TRUE,"Step by Step Sweater",4.86972295514512,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-18",2,18
2.40972222222222,63122,FALSE,"Oslo Hat",4.72236286919831,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-18",10,18
1.92123109024517,70714,FALSE,"Sophie Scarf",4.84321475625823,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",17,18
0,1501,FALSE,"Shorty Sock Set Vol. III",0,"Light Fingering","1 ",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-19",2,19
0,729,FALSE,"Zoe Loop Sweater",0,"Worsted (9 wpi)","6 ",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-19",12,19
