"difficulty_average","favorites_count","free","name","rating_average","yarn_weight_description","knit_needle_size","crochet_hook","knit_needles","crochet_hook_size","craft","pattern_cat","pattern_parent_cat","pattern_parent_parent_cat","pull_date","n_langs","pull_day"
2.18007662835249,4095,FALSE,"One Love Mystery Shawl",4.36704119850187,"Fingering (14 wpi)","7 ",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-23",1,23
2.52275225324247,79274,FALSE,"Musselburgh",4.88518293915504,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-23",6,23
2.41010222489477,63601,FALSE,"Oslo Hat",4.72268907563025,"DK (11 wpi)","2½",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-23",10,23
1.92123405722165,71423,FALSE,"Sophie Scarf",4.84295499021526,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",17,23
2.18122977346278,33425,TRUE,"The Simple Thing",4.79906542056075,"DK (11 wpi)","7 ",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",4,23
3.48285275550247,117085,FALSE,"Ranunculus",4.8135913166588,"","10 ",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-23",4,23
4.33333333333333,123,FALSE,"Fluffy MARTA Vest",5,"Super Bulky (5-6 wpi)","10 ",FALSE,TRUE,"J","Knitting","Vest","Clothing","Categories","2025-11-24",3,24
0,52,TRUE,"Waistcoats - Oxford",0,"Aran (8 wpi)","8 ",FALSE,TRUE,"H","Knitting","Vest","Clothing","Categories","2025-11-24",5,24
3,5216,FALSE,"Moon Set Polo",5,"Worsted (9 wpi)","9 ",FALSE,TRUE,"I","Knitting","Pullover","Sweater","Clothing","2025-11-24",14,24
0,3933,FALSE,"Edda Sweater",0,"DK (11 wpi)","4 ",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-24",12,24
0,938,FALSE,"Fiona",0,"Worsted (9 wpi)","5 ",FALSE,TRUE,"F","Knitting","Pullover","Sweater","Clothing","2025-11-24",2,24
0,215,TRUE,"Jali socks",0,"Fingering (14 wpi)","1 ",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-24",1,24
0,933,FALSE,"Humpy the humpback whale",0,"DK (11 wpi)","1½",FALSE,TRUE,"","Knitting","Animal","Softies","Toys and Hobbies","2025-11-24",1,24
0,411,TRUE,"Mistletoe Socks",0,"Fingering (14 wpi)","1½",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-24",4,24
0,207,FALSE,"Icy brides",0,"Fingering (14 wpi)","2½",FALSE,TRUE,"","Knitting","Other","Neck / Torso","Accessories","2025-11-24",1,24
0,553,TRUE,"Sugarloaf Shrug",0,"Bulky (7 wpi)","8 ",FALSE,TRUE,"H","Knitting","Poncho","Neck / Torso","Accessories","2025-11-24",3,24
3.25,5945,FALSE,"Angry Mittens",4.76923076923077,"Aran (8 wpi)","7 ",FALSE,TRUE,"","Knitting","Mittens","Hands","Accessories","2025-11-24",2,24
2.96735187424426,52274,FALSE,"Cloud Sweater",4.74767441860465,"Bulky (7 wpi)","7 ",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-24",14,24
